sample	gene	start	end	total_atp2b4_reads	total_reads
Bone_marrow_erythroblast_rep0	ATP2B4	203595688	203713209	6722	18258608
Bone_marrow_erythroblast_rep1	ATP2B4	203595688	203713209	7747	14880879
Bone_marrow_erythroblast_rep10	ATP2B4	203595688	203713209	15512	16650764
Bone_marrow_erythroblast_rep11	ATP2B4	203595688	203713209	6711	16902093
Bone_marrow_erythroblast_rep2	ATP2B4	203595688	203713209	4177	23814540
Bone_marrow_erythroblast_rep3	ATP2B4	203595688	203713209	9475	14894817
Bone_marrow_erythroblast_rep4	ATP2B4	203595688	203713209	4349	11106385
Bone_marrow_erythroblast_rep5	ATP2B4	203595688	203713209	5535	11512387
Bone_marrow_erythroblast_rep6	ATP2B4	203595688	203713209	5325	16213392
Bone_marrow_erythroblast_rep7	ATP2B4	203595688	203713209	9334	17814229
Bone_marrow_erythroblast_rep8	ATP2B4	203595688	203713209	10668	15777429
Bone_marrow_erythroblast_rep9	ATP2B4	203595688	203713209	10806	13943765
Fetal_liver_erythroblast_rep0	ATP2B4	203595688	203713209	4112	14614360
Fetal_liver_erythroblast_rep1	ATP2B4	203595688	203713209	5865	21764781
Fetal_liver_erythroblast_rep10	ATP2B4	203595688	203713209	4722	17278273
Fetal_liver_erythroblast_rep11	ATP2B4	203595688	203713209	6737	20060987
Fetal_liver_erythroblast_rep2	ATP2B4	203595688	203713209	3791	17145984
Fetal_liver_erythroblast_rep3	ATP2B4	203595688	203713209	9742	25585290
Fetal_liver_erythroblast_rep4	ATP2B4	203595688	203713209	3942	16871355
Fetal_liver_erythroblast_rep5	ATP2B4	203595688	203713209	9166	20986762
Fetal_liver_erythroblast_rep6	ATP2B4	203595688	203713209	7176	21114548
Fetal_liver_erythroblast_rep7	ATP2B4	203595688	203713209	6631	18341826
Fetal_liver_erythroblast_rep8	ATP2B4	203595688	203713209	9758	15389667
Fetal_liver_erythroblast_rep9	ATP2B4	203595688	203713209	7913	13528723
